 LINTANG , BUJUR ,KEDALAMAN , Mag ,MONTH,DAY,YEAR
1.41,122.09,14,3.2,1,1,2013
-8.84,124.37,99,3.5,1,1,2013
46.8,151.13,284,5.1,1,1,2013
2.42,96.17,10,3.1,1,1,2013
-0.11,98.47,50,4.5,1,1,2013
-3.53,139.06,27,4.4,1,1,2013
-7.98,107.34,10,4.4,1,1,2013
-2.67,129.24,102,3.3,1,1,2013
-9.59,120.14,60,3.1,1,1,2013
-6.81,130.36,113,4.3,1,1,2013
-1.07,126.96,10,4.9,1,1,2013
-9.16,123.65,10,3.2,1,1,2013
-6.22,104.16,20,3.1,1,1,2013
-5.62,103.97,44,4.7,1,1,2013
-6.33,130.25,10,4.7,1,1,2013
-4.18,142.02,98,4.6,1,1,2013
2.26,96.03,11,4.5,1,1,2013
-8.02,111.67,98,3.3,1,1,2013
-1.19,120.29,10,3.8,1,1,2013
2.43,128.22,254,4.7,1,1,2013
-8.39,121.36,10,4.3,1,2,2013
-3.01,100.95,13,5,1,2,2013
-6.44,130.04,168,4.7,1,2,2013
-8.53,119.59,159,2.7,1,2,2013
23.9,121.79,56,4.4,1,2,2013
-8.88,112.54,30,3.9,1,2,2013
-2.1,100.63,10,3.6,1,2,2013
-10.71,113.86,89,4.8,1,2,2013
-0.67,121.74,36,4.9,1,2,2013
3.96,127.71,149,4.7,1,2,2013
22.76,94.84,72,4.1,1,2,2013
29.6,141.94,61,4.5,1,2,2013
-1.47,127.44,39,5.4,1,3,2013
-1.78,127.3,10,5,1,3,2013
-0.38,132.22,10,3.5,1,3,2013
-1.58,127.5,10,4.4,1,3,2013
2.47,96.5,10,3.2,1,3,2013
44.96,142.17,10,5.4,1,3,2013
23.89,121.7,10,4.2,1,3,2013
-2.49,121.49,10,3.9,1,3,2013
-8.97,116.91,10,3.2,1,3,2013
-4.48,138.97,54,4.6,1,3,2013
-8.74,118.36,113,3.5,1,3,2013
-7.92,106.33,10,3.9,1,3,2013
23.95,121.74,10,4.2,1,3,2013
-8.62,110.4,56,3,1,3,2013
-2.85,119.74,10,3.4,1,3,2013
-7.63,128.79,121,4.5,1,4,2013
1.67,122.03,24,4.3,1,4,2013
-8.95,119.02,89,4.1,1,4,2013
-2.68,128.12,14,4.5,1,4,2013
0.62,96.64,11,3.5,1,4,2013
-1.43,127.32,17,4.1,1,4,2013
-1.48,119.57,10,3.5,1,4,2013
-10.49,113.84,10,3.8,1,4,2013
22.15,143.15,106,5.4,1,4,2013
-16.81,-173.29,10,5.9,1,4,2013
-9.94,121.74,11,3.6,1,4,2013
-3.7,119.5,10,2.7,1,4,2013
1.36,127.16,122,4.6,1,4,2013
1.69,99.41,159,3.4,1,4,2013
-5.52,146.02,75,5.2,1,4,2013
24.29,122.56,45,4.6,1,4,2013
-6.74,104.13,11,3.3,1,4,2013
-20.86,169.29,142,5,1,4,2013
3.37,97.92,14,3.6,1,5,2013
5.7,94.38,86,4.6,1,5,2013
-13.26,66.64,13,4.9,1,5,2013
28.68,128.66,58,5.4,1,5,2013
36.53,71.15,115,4.8,1,5,2013
56.68,-135.64,75,7,1,5,2013
-9.02,122.03,113,4.1,1,5,2013
30.99,86.06,10,4.9,1,5,2013
-0.66,97.12,42,3.9,1,5,2013
-9.95,118.89,10,3.4,1,5,2013
-20.06,66.36,18,5.1,1,5,2013
2.27,98.76,16,2.8,1,5,2013
-6.66,130.83,113,4.7,1,6,2013
1.52,92.76,99,4.5,1,6,2013
2.31,91.4,10,5,1,6,2013
1.15,127.46,142,5.3,1,6,2013
-2.83,126.38,10,3.8,1,6,2013
-8.47,123.63,170,4.3,1,6,2013
-26.15,178.42,664,5.3,1,6,2013
-6.93,130.87,106,4.9,1,6,2013
-8.73,108.53,21,3.9,1,6,2013
45.62,154.17,10,5.1,1,6,2013
-1.3,134.37,13,2.9,1,6,2013
-6.3,104.3,10,4.3,1,7,2013
-7.93,117.65,27,3.7,1,7,2013
-1.01,127.23,10,3.6,1,7,2013
0.91,127.46,10,3.9,1,7,2013
0.63,121.86,87,2.1,1,7,2013
-8.7,109.62,54,3.7,1,7,2013
24.49,122.87,65,5.8,1,7,2013
-8.25,107.77,10,4.3,1,7,2013
37.75,142.46,13,5.3,1,7,2013
-6.83,107.16,151,3.1,1,7,2013
2.29,98.85,11,3.1,1,7,2013
-0.79,122.48,14,3.5,1,7,2013
-8.69,118.39,117,3.1,1,7,2013
0.38,119.49,10,4.7,1,7,2013
-0.93,131.75,10,3.8,1,7,2013
-0.03,123.71,123,3.2,1,7,2013
0.52,122.22,66,2.8,1,7,2013
-8.75,118.35,102,4.2,1,7,2013
-4.33,101.97,32,3.7,1,8,2013
