LINTANG,BUJUR,KEDALAMAN,Mag,MONTH,DAY,YEAR
19.17,120.42,10,5,1,1,2014
-18.8,-175.46,210,5,1,1,2014
-6.99,127.71,252,4.2,1,1,2014
3.45,126.94,10,4.1,1,1,2014
3.89,126.74,32,4.1,1,1,2014
42.02,137.6,256,5.3,1,1,2014
-0.07,123.32,119,3.8,1,1,2014
-18.47,-178.6,621,4.8,1,1,2014
-8.47,112.4,87,3.2,1,1,2014
-0.2,122.78,10,2.6,1,1,2014
-0.41,120.92,10,2.7,1,1,2014
-35.29,-178.83,10,5,1,1,2014
-13.87,167.24,200,6.7,1,1,2014
-6.11,103.58,12,3.4,1,1,2014
2.81,98.42,10,2.6,1,1,2014
4.43,95.78,49,4,1,1,2014
1.43,97.43,28,4.4,1,1,2014
-2.92,129.44,25,4.8,1,1,2014
1.12,97.12,23,3.6,1,1,2014
-8.96,118.44,116,2.8,1,1,2014
-1.01,100.02,35,3.3,1,2,2014
-37.26,124.42,10,4.7,1,2,2014
-8.69,115.55,81,3.5,1,2,2014
5.01,127.16,108,4.5,1,2,2014
-4.15,121.61,10,4,1,2,2014
27.17,54.4,10,5.4,1,2,2014
-7.21,129.34,151,4.5,1,2,2014
10.5,126.59,69,5,1,2,2014
27.05,54.34,48,4.5,1,2,2014
-6.82,130.03,134,4.7,1,2,2014
-9.72,105.66,10,4.4,1,2,2014
35.66,141.41,10,5,1,2,2014
-6.84,152.32,49,4.5,1,2,2014
-6.3,104.57,10,2.4,1,2,2014
-10.97,113.1,34,4.7,1,2,2014
19.22,120.38,32,4.8,1,2,2014
19.25,120.31,10,4.8,1,2,2014
-2.23,119.05,10,3,1,2,2014
-2.73,128.06,10,3.6,1,2,2014
1.81,127.24,105,3.9,1,3,2014
-17.91,-178.45,606,5,1,3,2014
-3.96,103,88,3,1,3,2014
-7.4,108.22,36,2.8,1,3,2014
-6,103.56,10,4.3,1,3,2014
-5.3,103.35,12,5,1,3,2014
-6,103.54,10,3.7,1,3,2014
-6.06,103.53,10,4.1,1,3,2014
-6.06,103.58,13,3.9,1,3,2014
-6.02,103.55,10,3.6,1,3,2014
19.31,120.3,31,4.6,1,3,2014
-2.65,129.71,97,3.6,1,3,2014
-0.17,122.94,85,5,1,3,2014
-5.87,103.49,26,4.8,1,3,2014
27.72,52.08,29,4.9,1,3,2014
-6.02,103.59,24,3.7,1,3,2014
-0.8,132.1,29,2.9,1,3,2014
-6.02,103.62,10,2.8,1,3,2014
-5.18,104.87,94,3.4,1,3,2014
1.24,121.84,12,4.6,1,3,2014
0.67,126.7,36,3.9,1,3,2014
-7.78,108.32,100,4.6,1,3,2014
7.91,137.02,10,4.6,1,3,2014
