LINTANG,BUJUR,MONTH,DAY,YEAR
3.73,127.34,1,1,2009
-6.84,130.22,1,1,2009
1.45,120.74,1,1,2009
1.52,122.01,1,1,2009
-8.44,116.17,1,1,2009
1.41,122,1,1,2009
9.37,124.14,1,1,2009
-7.17,108.44,1,1,2009
0.65,100.99,1,1,2009
-4.32,119.56,1,1,2009
-4.41,101.11,1,1,2009
-2,138.71,1,1,2009
-3.09,139.91,1,1,2009
-2.92,139.83,1,1,2009
-4.43,101.05,1,1,2009
-2.85,139.89,1,1,2009
-2.46,126.83,1,2,2009
-2.25,121.14,1,2,2009
32.54,138.15,1,2,2009
9.42,125.3,1,2,2009
-6.65,113.91,1,2,2009
-7.18,113.74,1,2,2009
-6.5,128.38,1,2,2009
0.94,121.66,1,2,2009
-7.74,106.96,1,2,2009
-2.09,121,1,2,2009
-0.05,123,1,2,2009
-7.02,124.4,1,2,2009
0.48,122.61,1,2,2009
-2.62,121.73,1,2,2009
3.45,97.35,1,2,2009
1.32,126.27,1,2,2009
-11.61,166.61,1,2,2009
0.84,123.17,1,2,2009
-0.63,122.23,1,3,2009
-2.74,119.74,1,3,2009
2.6,128.19,1,3,2009
-2.23,121.24,1,3,2009
-7.02,106.53,1,3,2009
-24.57,-174.9,1,3,2009
0.52,124.01,1,3,2009
-2.48,139.03,1,3,2009
2.8,125.29,1,3,2009
3.6,125.64,1,3,2009
1.32,121.75,1,3,2009
-1.95,128.58,1,3,2009
-7.73,128.53,1,3,2009
-12.48,166.7,1,3,2009
6.73,123.68,1,3,2009
-6.25,119.84,1,3,2009
-5.04,145.12,1,3,2009
-0.42,132.93,1,3,2009
-6.79,105.11,1,3,2009
-0.56,132.85,1,3,2009
-1.38,132.18,1,3,2009
-0.39,133.47,1,3,2009
-0.25,133.77,1,3,2009
-9.18,129.35,1,3,2009
-8.32,119.59,1,3,2009
36.3,70.86,1,3,2009
-0.45,104.59,1,3,2009
1.37,134.44,1,3,2009
-0.92,132.51,1,3,2009
0.28,133.1,1,3,2009
-1.19,129.85,1,3,2009
-26.3,-64.24,1,3,2009
0.47,133.23,1,3,2009
1.7,135.06,1,3,2009
-0.72,131.43,1,3,2009
1.36,111.08,1,3,2009
-5.37,114.73,1,3,2009
-15.64,112.67,1,3,2009
-0.41,132.97,1,3,2009
-0.52,132.64,1,3,2009
24.55,121.12,1,3,2009
0.19,132.86,1,3,2009
-1.53,131.32,1,3,2009
-0.7,132.01,1,3,2009
-0.83,133.38,1,3,2009
-0.75,132.01,1,3,2009
-0.8,133.05,1,3,2009
-0.36,133.58,1,3,2009
-5.2,141.98,1,3,2009
-0.2,133.01,1,3,2009
-0.69,133.12,1,3,2009
-0.45,133.55,1,3,2009
-2.82,134.07,1,3,2009
-1.17,131.17,1,3,2009
-0.91,133.25,1,4,2009
-0.27,133.13,1,4,2009
